14 01 14  00 00 04  38322
14 01 14  00 00 33  38324
14 01 14  00 01 03  38324
14 01 14  00 01 33  38332
14 01 14  00 02 03  38335
14 01 14  00 02 33  38329
14 01 14  00 03 02  38330
14 01 14  00 03 32  38339
14 01 14  00 04 02  38341
14 01 14  00 04 32  38344
14 01 14  00 05 02  38338
14 01 14  00 05 32  38345
14 01 14  00 06 02  38341
14 01 14  00 06 32  38344
14 01 14  00 07 02  38350
14 01 14  00 07 32  38351
14 01 14  00 08 03  38354
14 01 14  00 08 33  38346
14 01 14  00 09 03  38348
14 01 14  00 09 33  38355
14 01 14  00 10 03  38361
14 01 14  00 10 33  38363
14 01 14  00 11 03  38368
14 01 14  00 11 33  38372
14 01 14  00 12 02  38372
14 01 14  00 12 32  38373
14 01 14  00 13 02  38369
14 01 14  00 13 32  38378
14 01 14  00 14 02  38385
14 01 14  00 14 32  38389
14 01 14  00 15 03  38380
14 01 14  00 15 33  38381
14 01 14  00 16 02  38383
14 01 14  00 16 32  38385
14 01 14  00 17 02  38384
14 01 14  00 17 32  38389
14 01 14  00 18 02  38394
14 01 14  00 18 32  38387
14 01 14  00 19 02  38386
14 01 14  00 19 32  38389
14 01 14  00 20 03  38387
14 01 14  00 20 33  38397
14 01 14  00 21 03  38397
14 01 14  00 21 33  38396
14 01 14  00 22 03  38393
14 01 14  00 22 33  38399
14 01 14  00 23 02  38393
14 01 14  00 23 32  38398
14 01 14  00 24 02  38399
14 01 14  00 24 32  38393
14 01 14  00 25 02  38393
14 01 14  00 25 32  38388
14 01 14  00 26 02  38398
14 01 14  00 26 32  38399
14 01 14  00 27 02  38396
14 01 14  00 27 32  38399
14 01 14  00 28 02  38402
14 01 14  00 28 32  38403
14 01 14  00 29 03  38404
14 01 14  00 29 33  38408
14 01 14  00 30 03  38414
14 01 14  00 30 33  38405
14 01 14  00 31 03  38410
14 01 14  00 31 33  38415
14 01 14  00 32 03  38403
14 01 14  00 32 33  38415
14 01 14  00 33 02  38409
14 01 14  00 33 32  38411
14 01 14  00 34 02  38409
14 01 14  00 34 32  38418
14 01 14  00 35 02  38411
14 01 14  00 35 32  38416
14 01 14  00 36 03  38413
14 01 14  00 36 33  38418
14 01 14  00 37 03  38420
14 01 14  00 37 33  38417
14 01 14  00 38 03  38418
14 01 14  00 38 33  38420
14 01 14  00 39 02  38416
14 01 14  00 39 32  38419
14 01 14  00 40 02  38427
14 01 14  00 40 32  38428
14 01 14  00 41 02  38430
14 01 14  00 41 32  38425
14 01 14  00 42 02  38416
14 01 14  00 42 32  38425
14 01 14  00 43 03  38427
14 01 14  00 43 33  38425
14 01 14  00 44 03  38435
14 01 14  00 44 33  38414
14 01 14  00 45 03  38421
14 01 14  00 45 33  38414
14 01 14  00 46 02  38415
14 01 14  00 46 32  38413
14 01 14  00 47 02  38416
14 01 14  00 47 32  38418
14 01 14  00 48 02  38416
14 01 14  00 48 32  38418
14 01 14  00 49 03  38416
14 01 14  00 49 33  38415
14 01 14  00 50 03  38409
14 01 14  00 50 33  38410
14 01 14  00 51 03  38415
14 01 14  00 51 33  38421
14 01 14  00 52 02  38420
14 01 14  00 52 32  38416
14 01 14  00 53 02  38417
14 01 14  00 53 32  38415
14 01 14  00 54 02  38411
14 01 14  00 54 32  38420
14 01 14  00 55 02  38428
14 01 14  00 55 32  38433
14 01 14  00 56 03  38429
14 01 14  00 56 33  38435
14 01 14  00 57 03  38426
14 01 14  00 57 33  38428
14 01 14  00 58 03  38433
14 01 14  00 58 33  38430
14 01 14  00 59 02  38440
14 01 14  00 59 32  38437
14 01 14  01 00 02  38439
14 01 14  01 00 32  38439
14 01 14  01 01 02  38435
14 01 14  01 01 32  38444
14 01 14  01 02 02  38451
14 01 14  01 02 32  38443
14 01 14  01 03 03  38443
14 01 14  01 03 33  38439
14 01 14  01 04 03  38449
14 01 14  01 04 33  38449
14 01 14  01 05 02  38453
14 01 14  01 05 32  38452
14 01 14  01 06 02  38464
14 01 14  01 06 32  38462
14 01 14  01 07 02  38455
14 01 14  01 07 32  38466
14 01 14  01 08 02  38457
14 01 14  01 08 32  38457
14 01 14  01 09 03  38462
14 01 14  01 09 33  38466
14 01 14  01 10 03  38467
14 01 14  01 10 33  38471
14 01 14  01 11 03  38469
14 01 14  01 11 33  38472
14 01 14  01 12 02  38465
14 01 14  01 12 32  38475
14 01 14  01 13 02  38471
14 01 14  01 13 32  38475
14 01 14  01 14 02  38473
14 01 14  01 14 32  38476
