14 07 26  00 40 01  18057  ?  61213  -4489.36  ?  13.72 
14 07 26  00 40 31  18050  ?  61209  -4491.49  ?  13.72 
14 07 26  00 41 01  18057  ?  61213  -4489.36  ?  13.72 
14 07 26  00 41 31  18058  ?  61210  -4489.05  ?  13.72 
14 07 26  00 42 01  18055  ?  61214  -4489.97  ?  13.72 
14 07 26  00 42 31  18057  ?  61209  -4489.36  ?  13.72 
14 07 26  00 43 01  18060  ?  61212  -4488.44  ?  13.72 
14 07 26  00 43 31  18066  ?  61207  -4486.61  ?  13.72 
14 07 26  00 44 01  18056  ?  61215  -4489.66  ?  13.72 
14 07 26  00 44 31  18059  ?  61210  -4488.75  ?  13.72 
14 07 26  00 45 01  18058  ?  61213  -4489.05  ?  13.72 
14 07 26  00 45 31  18053  ?  61209  -4490.58  ?  13.72 
14 07 26  00 46 02  18055  ?  61214  -4489.97  ?  13.72 
14 07 26  00 46 32  18058  ?  61209  -4489.05  ?  13.72 
14 07 26  00 47 01  18059  ?  61215  -4488.75  ?  13.72 
14 07 26  00 47 31  18055  ?  61206  -4489.97  ?  13.72 
14 07 26  00 48 01  18054  ?  61213  -4490.27  ?  13.72 
14 07 26  00 48 31  18059  ?  61208  -4488.75  ?  13.72 
14 07 26  00 49 01  18049  ?  61216  -4491.80  ?  13.72 
14 07 26  00 49 31  18049  ?  61209  -4491.80  ?  13.72 
14 07 26  00 50 01  18043  ?  61214  -4493.63  ?  13.72 
14 07 26  00 50 31  18049  ?  61209  -4491.80  ?  13.72 
14 07 26  00 51 01  18054  ?  61212  -4490.27  ?  13.72 
14 07 26  00 51 31  18049  ?  61206  -4491.80  ?  13.72 
14 07 26  00 52 01  18046  ?  61214  -4492.71  ?  13.72 
14 07 26  00 52 31  18048  ?  61210  -4492.10  ?  13.72 
14 07 26  00 53 02  18044  ?  61212  -4493.32  ?  13.72 
14 07 26  00 53 32  18049  ?  61205  -4491.80  ?  13.72 
14 07 26  00 54 01  18046  ?  61213  -4492.71  ?  13.72 
14 07 26  00 54 31  18051  ?  61208  -4491.19  ?  13.72 
14 07 26  00 55 01  18052  ?  61213  -4490.88  ?  13.72 
14 07 26  00 55 31  18045  ?  61204  -4493.02  ?  13.72 
14 07 26  00 56 01  18039  ?  61212  -4494.85  ?  13.72 
14 07 26  00 56 31  18048  ?  61208  -4492.10  ?  13.72 
14 07 26  00 57 01  18047  ?  61213  -4492.41  ?  13.72 
14 07 26  00 57 31  18040  ?  61209  -4494.54  ?  13.72 
14 07 26  00 58 01  18045  ?  61213  -4493.02  ?  13.72 
14 07 26  00 58 31  18047  ?  61207  -4492.41  ?  13.72 
14 07 26  00 59 01  18041  ?  61214  -4494.24  ?  13.72 
14 07 26  00 59 31  18041  ?  61209  -4494.24  ?  13.72 
14 07 26  01 00 01  18042  ?  61212  -4493.93  ?  13.72 
14 07 26  01 00 31  18036  ?  61209  -4495.77  ?  13.72 
14 07 26  01 01 02  18040  ?  61213  -4494.54  ?  13.72 
14 07 26  01 01 32  18031  ?  61205  -4497.29  ?  13.72 
14 07 26  01 02 02  18038  ?  61212  -4495.16  ?  13.72 
14 07 26  01 02 32  18037  ?  61207  -4495.46  ?  13.72 
14 07 26  01 03 01  18036  ?  61211  -4495.77  ?  13.72 
14 07 26  01 03 31  18032  ?  61205  -4496.99  ?  13.72 
14 07 26  01 04 01  18039  ?  61212  -4494.85  ?  13.72 
14 07 26  01 04 31  18025  ?  61208  -4499.12  ?  13.72 
14 07 26  01 05 01  18028  ?  61211  -4498.21  ?  13.72 
14 07 26  01 05 31  18030  ?  61206  -4497.60  ?  13.72 
14 07 26  01 06 01  18021  ?  61212  -4500.34  ?  13.72 
14 07 26  01 06 31  18021  ?  61208  -4500.34  ?  13.72 
14 07 26  01 07 01  18030  ?  61211  -4497.60  ?  13.72 
14 07 26  01 07 31  18033  ?  61207  -4496.68  ?  13.72 
14 07 26  01 08 01  18028  ?  61211  -4498.21  ?  13.72 
14 07 26  01 08 31  18029  ?  61209  -4497.90  ?  13.72 
14 07 26  01 09 02  18017  ?  61211  -4501.56  ?  13.72 
14 07 26  01 09 32  18017  ?  61208  -4501.56  ?  13.72 
14 07 26  01 10 01  18020  ?  61211  -4500.65  ?  13.72 
14 07 26  01 10 31  18020  ?  61209  -4500.65  ?  13.72 
14 07 26  01 11 01  18017  ?  61213  -4501.56  ?  13.72 
14 07 26  01 11 31  18013  ?  61206  -4502.78  ?  13.72 
14 07 26  01 12 01  18013  ?  61210  -4502.78  ?  13.72 
14 07 26  01 12 31  18012  ?  61207  -4503.09  ?  13.72 
14 07 26  01 13 01  18013  ?  61214  -4502.78  ?  13.72 
14 07 26  01 13 31  18015  ?  61205  -4502.17  ?  13.72 
14 07 26  01 14 01  18014  ?  61211  -4502.48  ?  13.72 
14 07 26  01 14 31  18012  ?  61206  -4503.09  ?  13.72 
14 07 26  01 15 02  18012  ?  61209  -4503.09  ?  13.72 
14 07 26  01 15 32  18006  ?  61207  -4504.92  ?  13.72 
14 07 26  01 16 01  18005  ?  61214  -4505.23  ?  13.72 
14 07 26  01 16 31  18001  ?  61204  -4506.45  ?  13.72 
14 07 26  01 17 02  18003  ?  61211  -4505.84  ?  13.72 
14 07 26  01 17 32  18004  ?  61206  -4505.53  ?  13.72 
14 07 26  01 18 01  18003  ?  61212  -4505.84  ?  13.72 
14 07 26  01 18 31  18000  ?  61204  -4506.75  ?  13.72 
14 07 26  01 19 01  17997  ?  61213  -4507.67  ?  13.72 
14 07 26  01 19 31  18000  ?  61207  -4506.75  ?  13.72 
14 07 26  01 20 01  17995  ?  61212  -4508.28  ?  13.72 
14 07 26  01 20 31  17996  ?  61206  -4507.97  ?  13.72 
14 07 26  01 21 01  18002  ?  61212  -4506.14  ?  13.72 
14 07 26  01 21 31  17992  ?  61207  -4509.19  ?  13.72 
14 07 26  01 22 01  17987  ?  61211  -4510.72  ?  13.72 
14 07 26  01 22 31  17988  ?  61205  -4510.41  ?  13.72 
14 07 26  01 23 01  17984  ?  61212  -4511.63  ?  13.72 
14 07 26  01 23 31  17979  ?  61205  -4513.16  ?  13.72 
14 07 26  01 24 02  17980  ?  61210  -4512.86  ?  13.72 
14 07 26  01 24 32  17986  ?  61205  -4511.02  ?  13.72 
14 07 26  01 25 01  17980  ?  61211  -4512.86  ?  13.72 
14 07 26  01 25 31  17974  ?  61205  -4514.69  ?  13.72 
14 07 26  01 26 01  17977  ?  61203  -4513.77  ?  13.72 
14 07 26  01 26 31  17975  ?  61205  -4514.38  ?  13.72 
14 07 26  01 27 01  17973  ?  61212  -4514.99  ?  13.72 
14 07 26  01 27 31  17972  ?  61206  -4515.30  ?  13.72 
14 07 26  01 28 01  17972  ?  61210  -4515.30  ?  13.72 
14 07 26  01 28 31  17970  ?  61207  -4515.91  ?  13.72 
14 07 26  01 29 01  17971  ?  61213  -4515.60  ?  13.72 
14 07 26  01 29 31  17968  ?  61205  -4516.52  ?  13.72 
14 07 26  01 30 01  17965  ?  61212  -4517.43  ?  13.72 
14 07 26  01 30 31  17962  ?  61207  -4518.35  ?  13.72 
14 07 26  01 31 02  17959  ?  61211  -4519.26  ?  13.72 
14 07 26  01 31 32  17958  ?  61207  -4519.57  ?  13.72 
14 07 26  01 32 01  17957  ?  61213  -4519.88  ?  13.72 
14 07 26  01 32 31  17953  ?  61206  -4521.10  ?  13.72 
14 07 26  01 33 01  17949  ?  61208  -4522.32  ?  13.72 
14 07 26  01 33 31  17952  ?  61205  -4521.40  ?  13.72 
14 07 26  01 34 01  17952  ?  61211  -4521.40  ?  13.72 
14 07 26  01 34 31  17950  ?  61205  -4522.01  ?  13.72 
14 07 26  01 35 01  17946  ?  61213  -4523.23  ?  13.72 
14 07 26  01 35 31  17947  ?  61207  -4522.93  ?  13.72 
14 07 26  01 36 01  17937  ?  61210  -4525.98  ?  13.72 
14 07 26  01 36 31  17938  ?  61206  -4525.67  ?  13.72 
14 07 26  01 37 01  17943  ?  61211  -4524.15  ?  13.72 
14 07 26  01 37 31  17934  ?  61205  -4526.89  ?  13.72 
14 07 26  01 38 01  17930  ?  61211  -4528.11  ?  13.72 
14 07 26  01 38 31  17926  ?  61206  -4529.34  ?  13.72 
14 07 26  01 39 02  17931  ?  61209  -4527.81  ?  13.72 
14 07 26  01 39 32  17928  ?  61205  -4528.73  ?  13.72 
14 07 26  01 40 02  17928  ?  61209  -4528.73  ?  13.72 
14 07 26  01 40 32  17922  ?  61203  -4530.56  ?  13.72 
14 07 26  01 41 01  17917  ?  61209  -4532.08  ?  13.72 
14 07 26  01 41 31  17913  ?  61204  -4533.30  ?  13.72 
14 07 26  01 42 01  17909  ?  61209  -4534.52  ?  13.72 
14 07 26  01 42 31  17914  ?  61204  -4533.00  ?  13.72 
14 07 26  01 43 01  17912  ?  61209  -4533.61  ?  13.72 
14 07 26  01 43 31  17913  ?  61205  -4533.30  ?  13.72 
14 07 26  01 44 01  17912  ?  61210  -4533.61  ?  13.72 
14 07 26  01 44 31  17910  ?  61206  -4534.22  ?  13.72 
14 07 26  01 45 01  17909  ?  61211  -4534.52  ?  13.72 
14 07 26  01 45 31  17906  ?  61206  -4535.44  ?  13.72 
14 07 26  01 46 02  17899  ?  61210  -4537.58  ?  13.72 
14 07 26  01 46 32  17896  ?  61205  -4538.49  ?  13.72 
14 07 26  01 47 02  17897  ?  61210  -4538.19  ?  13.72 
14 07 26  01 47 32  17890  ?  61205  -4540.32  ?  13.72 
